0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
0 1730.00 1.32
1 2291.00 0.40
2 927.23 0.98
3 912.56 0.60
4 544.76 0.74
5 404.32 0.68
6 275.86 0.70
7 192.26 0.70
8 134.16 0.69
9 93.00 0.70
10 64.85 0.69
11 45.05 0.70
12 31.35 0.70
13 21.80 0.70
14 15.17 0.70
15 10.55 0.70
16 7.34 0.70
17 5.11 0.70
18 3.55 0.70
19 2.47 0.70
20 1.72 0.00
