0 180.00 0.81
1 145.00 0.73
2 106.40 0.86
3 91.68 0.79
4 72.30 0.79
5 57.31 0.80
6 45.92 0.80
7 36.68 0.80
8 29.27 0.80
9 23.38 0.80
10 18.67 0.00
0 5585.00 3316.11
1 18520474.00 615.30
2 11395722392.00 3083.47
3 35138397376564.00 657.73
4 23111505567869392.00 2888.01
5 66746144124075655000.00 698.66
6 46632691833770490000000.00 2721.92
7 126930531261877000000000000.00 738.05
8 93681526577021640000000000000.00 2579.46
9 241647659192416230000000000000000.00 775.89
10 187491708647360380000000000000000000.00 2456.26
11 460528268043359200000000000000000000000.00 812.15
12 374016662636102300000000000000000000000000.00 2348.97
13 878552444465980000000000000000000000000000000.00 846.82
14 743977937741056700000000000000000000000000000000.00 2254.95
15 1677634188903099200000000000000000000000000000000000.00 879.92
16 1476182001355978600000000000000000000000000000000000000.00 2172.13
17 3206458368020297000000000000000000000000000000000000000000.00 911.45
18 2922522776517517600000000000000000000000000000000000000000000.00 2098.82
19 6133854780584892000000000000000000000000000000000000000000000000.00 941.43
20 5774611468877707000000000000000000000000000000000000000000000000000.00 2033.66
21 11743620330725505000000000000000000000000000000000000000000000000000000.00 969.90
22 11390110448308895000000000000000000000000000000000000000000000000000000000.00 1975.53
23 22501558426891650000000000000000000000000000000000000000000000000000000000000.00 996.88
24 22431288725389816000000000000000000000000000000000000000000000000000000000000000.00 1923.50
25 43146659241850300000000000000000000000000000000000000000000000000000000000000000000.00 1022.41
26 44113544637080890000000000000000000000000000000000000000000000000000000000000000000000.00 1876.79
27 82791953780992350000000000000000000000000000000000000000000000000000000000000000000000000.00 1046.54
28 86644823920461120000000000000000000000000000000000000000000000000000000000000000000000000000.00 1834.75
29 158971185788957200000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1069.31
30 169988783507989600000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1796.81
31 305436934761531960000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1090.76
32 333159782575936100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1762.50
33 587194114122832400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1110.96
34 652351674546120300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1731.42
35 1129493189979453100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1129.96
36 1276278517231428600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1703.21
37 2173765792026732600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1147.80
38 2495037639475207300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1677.56
39 4185575464184337500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1164.53
40 4874237374500889500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1654.21
41 8063018097045442000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1180.22
42 9516145170354984000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1632.93
43 15539159144901760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1194.91
44 18567969720324257000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1613.50
45 29959381964627994000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1208.66
46 36210834798764550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1595.75
47 57783295337261690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1221.52
48 70583482290408770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1579.51
49 111487239611560720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1233.53
50 137523160954010920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1564.64
51 215174746719134600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1244.75
52 267838473926942040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1551.02
53 415423612684922900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00 1255.21
