0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 0.17
1 110.00 0.05
2 218.36 0.24
3 71.31 0.08
4 84.41 0.15
5 46.06 0.11
6 35.96 0.13
7 24.03 0.12
8 16.87 0.13
9 11.76 0.13
10 8.15 0.13
11 5.68 0.13
12 3.95 0.13
0 300.00 17.34
1 110.00 4.80
2 218.36 23.55
3 71.31 7.81
4 84.41 15.50
5 46.06 11.39
6 35.96 13.04
7 24.03 12.50
8 16.87 12.58
9 11.76 12.64
10 8.15 12.56
11 5.68 12.62
12 3.95 12.59
0 300.00 17.34
1 110.00 4.80
2 218.36 23.55
3 71.31 7.81
4 84.41 15.50
5 46.06 11.39
6 35.96 13.04
7 24.03 12.50
8 16.87 12.58
9 11.76 12.64
10 8.15 12.56
11 5.68 12.62
12 3.95 12.59
0 300.00 17.34
1 110.00 4.80
2 218.36 23.55
3 71.31 7.81
4 84.41 15.50
5 46.06 11.39
6 35.96 13.04
7 24.03 12.50
8 16.87 12.58
9 11.76 12.64
10 8.15 12.56
11 5.68 12.62
12 3.95 12.59
0 300.00 17.34
1 110.00 4.80
2 218.36 23.55
3 71.31 7.81
4 84.41 15.50
5 46.06 11.39
6 35.96 13.04
7 24.03 12.50
8 16.87 12.58
9 11.76 12.64
10 8.15 12.56
11 5.68 12.62
12 3.95 12.59
